RA,Dec,z_cl,N_mem,logMs,z_bcg,ID,
1.442385,-0.462662,0.664,11.675,12.051,-1.0,C19a1sW00165,
1.44459,2.382173,0.8167,24.325,12.526,0.83971,C19a1sW00166,
1.455864,2.225168,0.296,13.617,12.046,-1.0,C19a1sW00167,
1.456251,1.923637,0.4407,10.576,12.219,-1.0,C19a1sW00168,
1.45919,1.111075,0.6344,10.298,12.161,-1.0,C19a1sW00169,
1.461697,0.812117,0.1882,10.975,12.089,0.18787,C19a1sW00170,
1.464903,2.13823,1.19,15.515,12.636,-1.0,C19a1sW00171,
1.475325,1.925407,0.8147,16.724,12.445,-1.0,C19a1sW00172,
1.488383,1.323165,1.0055,12.819,12.294,-1.0,C19a1sW00173,
1.496464,0.308129,1.19,14.979,12.253,-1.0,C19a1sW00174,
1.500822,1.691275,0.802,11.854,12.067,-1.0,C19a1sW00175,
1.518815,1.822153,1.0425,11.116,12.1,-1.0,C19a1sW00176,
1.527683,0.218032,1.028,10.769,12.065,-1.0,C19a1sW00177,
1.52843,-0.105915,0.3378,10.901,12.109,0.34827,C19a1sW00178,
1.529103,0.91227,1.1841,11.54,12.264,-1.0,C19a1sW00179,
1.534034,1.396174,0.5024,10.685,12.066,0.50231,C19a1sW00180,
1.534476,1.832136,0.4273,17.617,12.46,0.42572,C19a1sW00181,
1.543932,1.676322,0.4144,10.931,12.154,-1.0,C19a1sW00182,
1.554717,-0.026307,0.7225,10.155,12.104,-1.0,C19a1sW00183,
1.562287,1.137349,0.5359,12.512,12.227,0.53435,C19a1sW00184,
1.583214,1.810795,0.822,11.817,12.105,-1.0,C19a1sW00185,
1.588122,1.189858,0.2923,10.692,12.034,-1.0,C19a1sW00186,
1.602048,0.382695,0.2967,10.711,12.028,-1.0,C19a1sW00187,
1.611484,1.576241,0.988,12.962,12.344,-1.0,C19a1sW00188,
1.619629,1.882965,1.2259,11.968,12.071,-1.0,C19a1sW00189,
1.625573,0.490357,0.606,11.232,12.274,0.61742,C19a1sW00190,
1.641751,0.301708,0.698,30.785,12.587,-1.0,C19a1sW00191,
1.647916,1.705211,0.768,17.683,12.255,-1.0,C19a1sW00192,
1.660913,0.014336,0.8169,11.14,12.141,-1.0,C19a1sW00193,
1.662085,1.662488,0.4222,11.361,12.187,-1.0,C19a1sW00194,
1.662226,1.975377,0.268,17.754,12.347,0.27706,C19a1sW00195,
1.697761,1.414729,0.824,12.001,12.26,-1.0,C19a1sW00196,
1.710931,0.045982,1.1781,10.537,12.255,-1.0,C19a1sW00197,
1.712102,2.010783,1.044,12.371,12.31,-1.0,C19a1sW00198,
1.719703,2.512071,0.916,18.759,12.274,-1.0,C19a1sW00199,
1.725384,-0.688763,0.5552,59.479,12.911,0.53068,C19a1sW00200,
1.757563,1.119009,1.066,13.182,12.148,-1.0,C19a1sW00201,
1.759405,0.273554,0.714,15.006,12.339,0.66861,C19a1sW00202,
1.76369,1.983473,0.918,11.625,12.393,-1.0,C19a1sW00203,
1.769434,1.47429,1.1961,10.148,12.496,-1.0,C19a1sW00204,
1.781346,0.580201,0.6977,11.146,12.047,-1.0,C19a1sW00205,
1.78272,1.557235,0.4255,10.49,12.038,-1.0,C19a1sW00206,
1.787034,1.50415,1.0297,11.478,12.303,-1.0,C19a1sW00207,
1.817275,0.597838,0.1149,19.632,12.267,0.09296,C19a1sW00208,
1.824877,-0.857277,0.554,12.641,12.379,0.54041,C19a1sW00209,
1.827104,2.011418,1.2061,10.037,12.039,-1.0,C19a1sW00210,
1.829403,0.811297,0.7754,23.171,12.625,-1.0,C19a1sW00211,
1.829542,2.247712,0.274,29.956,12.278,-1.0,C19a1sW00212,
1.844268,1.127919,1.0599,16.404,12.536,-1.0,C19a1sW00213,
1.857837,-0.523093,0.3924,10.696,12.193,-1.0,C19a1sW00214,
1.895377,1.924825,0.352,15.13,12.357,0.32701,C19a1sW00215,
1.896039,-0.190551,0.8,10.769,12.095,-1.0,C19a1sW00216,
1.898307,-0.083135,0.724,24.662,12.534,-1.0,C19a1sW00217,
1.909143,0.299493,0.382,10.478,12.131,-1.0,C19a1sW00218,
1.917274,2.216418,0.354,10.384,12.086,0.36418,C19a1sW00219,
1.920999,0.345355,1.044,11.692,12.155,-1.0,C19a1sW00220,
1.92794,0.823314,0.12,11.996,12.245,0.13966,C19a1sW00221,
1.948508,1.948979,1.0057,12.203,12.15,-1.0,C19a1sW00222,
2.029205,1.259854,0.7707,11.532,12.308,-1.0,C19a1sW00223,
2.030376,1.699971,0.616,14.946,12.201,0.62564,C19a1sW00224,
2.040271,1.005962,0.335,13.553,12.24,0.33129,C19a1sW00225,
