#   RA         Dec     z_cl    N_mem logMs  z_bcg    ID
  1.662226   1.975377 0.2680  18.033 12.466 0.27706 C19a1nW00202
  1.696088   1.482089 1.0740  13.815 12.294 -1.0    C19a1nW00203
  1.697761   1.414729 0.8226  11.291 12.260 -1.0    C19a1nW00204
  1.701489  -0.533780 0.3300  15.278 12.080 -1.0    C19a1nW00205
  1.702729   1.829425 0.6160  10.055 12.142 0.63090 C19a1nW00206
  1.710931   0.045982 1.1781  10.294 12.258 -1.0    C19a1nW00207
  1.712102   2.010783 1.0441  12.472 12.313 -1.0    C19a1nW00208
  1.716692  -0.563788 0.5130  11.172 12.191 0.51556 C19a1nW00209
  1.719703   2.512071 0.9160  19.306 12.280 -1.0    C19a1nW00210
  1.725384  -0.688763 0.5555  56.397 12.918 0.53068 C19a1nW00211
  1.748027   0.465823 0.2458  13.862 12.215 -1.0    C19a1nW00212
  1.757240   0.267646 0.7141  12.717 12.352 -1.0    C19a1nW00213
  1.757563   1.119009 1.0659  14.085 12.129 -1.0    C19a1nW00214
  1.763690   1.983473 0.9180  11.944 12.396 -1.0    C19a1nW00215
  1.781346   0.580201 0.6978  10.929 12.047 -1.0    C19a1nW00216
  1.784358   1.546754 0.4225  11.242 12.069 0.36623 C19a1nW00217
  1.787034   1.504150 1.0297  10.443 12.320 -1.0    C19a1nW00218
  1.824877  -0.857277 0.5540  13.145 12.397 0.54041 C19a1nW00219
  1.829403   0.811297 0.7771  22.966 12.626 -1.0    C19a1nW00220
  1.829542   2.247712 0.2737  30.397 12.294 -1.0    C19a1nW00221
  1.829625   1.120405 1.0547  13.711 12.558 -1.0    C19a1nW00222
  1.834689   1.712839 0.8205  15.056 12.241 -1.0    C19a1nW00223
  1.855798   0.543276 0.1133  23.615 12.327 0.09264 C19a1nW00224
  1.857837  -0.523093 0.4040  12.250 12.316 -1.0    C19a1nW00225
  1.862505   0.920127 0.1060  12.669 12.186 0.10068 C19a1nW00226
  1.869718   1.005989 1.2395  10.334 12.210 -1.0    C19a1nW00227
  1.895377   1.924825 0.3532  17.319 12.410 0.32701 C19a1nW00228
  1.897539  -0.164815 0.8124  10.819 12.119 -1.0    C19a1nW00229
  1.898307  -0.083135 0.7240  24.334 12.534 -1.0    C19a1nW00230
  1.908951   1.965221 1.0149  10.467 12.147 -1.0    C19a1nW00231
  1.917274   2.216418 0.3540  10.796 12.122 0.36418 C19a1nW00232
  1.920999   0.345355 1.0436  12.039 12.170 -1.0    C19a1nW00233
  1.934122  -0.417738 0.9900  13.080 12.276 -1.0    C19a1nW00234
  2.008462   0.819513 0.5890  12.108 12.303 0.58817 C19a1nW00235
  2.030376   1.699971 0.6220  12.933 12.263 0.62564 C19a1nW00236
  2.040271   1.005962 0.3240  14.759 12.331 0.33129 C19a1nW00237
  2.043308   2.020100 0.3539  79.058 12.898 0.36505 C19a1nW00238
  2.047033  -0.087317 0.7260  14.932 12.374 -1.0    C19a1nW00239
  2.053639   1.615902 1.1120  10.705 12.048 -1.0    C19a1nW00240
  2.058780   0.189163 0.5049  16.817 12.271 0.50639 C19a1nW00241
  2.069480   0.829765 1.1741  13.403 12.410 -1.0    C19a1nW00242
  2.074126   2.114432 1.1540  10.687 12.045 -1.0    C19a1nW00243
  2.074497  -0.655767 0.5630  36.325 12.633 0.55566 C19a1nW00244
